Accession	Gene_name	Protein_name	Original_ID	Entry_name	Experiment_id
P11233	RALA;RAL	Ras-related protein Ral-A	P11233	Ras-related (RalA)	exp005
Q96ND2	NA	Inhibitor of nuclear factor kappa-B kinase-interacting protein	Q96ND2	Hypothetical protein, FLJ31051	exp005
P11234	RALB	Ras-related protein Ral-B	P11234	Ras-related (RalB)	exp005
Q96NF8	NA	ADP-dependent glucokinase	Q96NF8	Hypothetical  24.1 kDa protein	exp005
P11279	LAMP1	Lysosome-associated membrane glycoprotein 1	P11279	LAMP-1	exp005
Q96QL2	NA	Trans-Golgi network integral membrane protein 2	Q96QL2	TGN46	exp005
P11476	RAB1A; RAB1	Ras-related protein Rab-1A	P11476	Rab1	exp005
Q96QY8	NA	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1	Q96QY8	FERM, RhoGEF, and pleckstrin domain protein 1	exp005
P11518	RPL7A; SURF-3; SURF3	60S ribosomal protein L7a	P11518	Ribosomal protein L7a	exp005
Q96S52	PIGS;UNQ1873/PRO4316	GPI transamidase component PIG-S	Q96S52	GPI transamidase component PIG-S	exp005
P11717	IGF2R;MPRI	Cation-independent mannose-6-phosphate receptor	P11717	IGF-2 receptor	exp005
Q96S97	MYADM;UNQ553/PRO1110	Myeloid-associated differentiation marker	Q96S97	Myeloid-associated differentiation marker	exp005
P12236	SLC25A6;ANT3;CDABP0051	ADP/ATP translocase 3	P12236	Adenine nucleotide translocator	exp005
Q96SD6	NA	Regulator of microtubule dynamics protein 3	Q96SD6	T-cell PTP-interacting protein	exp005
P13073	COX4I1;COX4	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	P13073	Cytochrome c oxidase IV	exp005
Q96SL4	GPX7;GPX6;UNQ469/PRO828	Glutathione peroxidase 7	Q96SL4	Glutathione peroxidase	exp005
P13473	LAMP2	Lysosome-associated membrane glycoprotein 2	P13473	LAMP-2	exp005
Q99414	AAD10	AAD10 protein	Q99414	AAD10	exp005
P13645	KRT10;KPP	Keratin, type I cytoskeletal 10	P13645	Keratin 10	exp005
Q99442	SEC62;TLOC1	Translocation protein SEC62	Q99442	Translocational protein 1	exp005
P13667	PDIA4;ERP70;ERP72	Protein disulfide-isomerase A4	P13667	Protein disulfide isomerase A4	exp005
Q99623	PHB2;BAP;REA	Prohibitin-2	Q99623	B-cell associated protein	exp005
P13674	P4HA1;P4HA	Prolyl 4-hydroxylase subunit alpha-1	P13674	Procollagen-proline, 2-oxoglutarate 4-dioxygenase	exp005
Q99651	NA	Acetolactate synthase-like protein	Q99651	Acetolactate synthase	exp005
P13987	CD59;MIC11;MIN1;MIN2;MIN3;MSK21	CD59 glycoprotein	P13987	Membrane attack complex inhibition factor	exp005
Q99653	CHP1;CHP	Calcineurin B homologous protein 1	Q99653	Ca++-binding protein P22	exp005
P14118	RPL19	60S ribosomal protein L19	P14118	Ribosomal protein L19	exp005
Q99720	SIGMAR1;OPRS1;SRBP;AAG8	Sigma non-opioid intracellular receptor 1	Q99720	Sigma receptor	exp005
P14209	CD99;MIC2;MIC2X;MIC2Y	CD99 antigen	P14209	T-cell surface glycoprotein E2	exp005
Q99805	TM9SF2	Transmembrane 9 superfamily member 2	Q99805	Transmembrane 9 superfamily protein 2	exp005
P14314	PRKCSH;G19P1	Glucosidase 2 subunit beta	P14314	PKC substrate	exp005
Q9BSE0	NA	Hypothetical protein	Q9BSE0	Hypothetical  60.5 kDa protein	exp005
P14406	COX7A2;COX7AL	Cytochrome c oxidase subunit 7A2, mitochondrial	P14406	Cytochrome c oxidase VIIa	exp005
Q9BSS5	CLPTM1	Cleft lip and palate transmembrane protein 1	Q9BSS5	Cleft lip and palate associated transmembrane protein 1	exp005
P14618	PKM;OIP3;PK2;PK3;PKM2	Pyruvate kinase PKM	P14618	Pyruvate kinase	exp005
Q9BUR5	APOO;FAM121B;My025;UNQ1866/PRO4302	Apolipoprotein O	Q9BUR5	Hypothetical protein, MGC:4825	exp005
P14625	HSP90B1;GRP94;TRA1	Endoplasmin	P14625	Tumor rejection antigen-1	exp005
Q9BV02	NA	Hypothetical protein	Q9BV02	Hypothetical protein, IMAGE:3354845	exp005
P14854	COX6B1;COX6B	Cytochrome c oxidase subunit 6B1	P14854	Cytochrome c oxidase Vic	exp005
Q9BW23	NA	Mitochondrial carrier homolog 1	Q9BW23	Mitochondrial carrier homologue	exp005
P14923	JUP;CTNNG;DP3	Junction plakoglobin	P14923	Plakoglobin 1	exp005
Q9BW47	NA	DDRGK domain-containing protein 1	Q9BW47	Hypothetical  35.6 kDa protein	exp005
P15144	ANPEP;APN;CD13;PEPN	Aminopeptidase N	P15144	Aminopeptidase N	exp005
Q9BW99	NA	Protein OS-9	Q9BW99	Hypothetical protein, MGC:15510	exp005
P15151	PVR;PVS	Poliovirus receptor	P15151	Poliovirus receptor	exp005
Q9BWM7	SFXN3	Sideroflexin-3	Q9BWM7	Sideroflexin 3	exp005
P15154	RAC1; TC25	Ras-related C3 botulinum toxin substrate 1	P15154	Rac1	exp005
Q9BY57	NA	Partitioning defective 3 homolog	Q9BY57	aPKC isotype-specific interacting protein	exp005
P15291	B4GALT1;GGTB2	Beta-1,4-galactosyltransferase 1	P15291	Beta 1,4-galactosyl-transferase	exp005
Q9BZE8	NA	OCIA domain-containing protein 1	Q9BZE8	Ovarian carcinoma immunoreactive antigen	exp005
P15328	FOLR1;FOLR	Folate receptor alpha	P15328	Folate-binding protein	exp005
Q9BZS3	NA	Transmembrane and coiled-coil domain-containing protein 1	Q9BZS3	Hypothetical protein, PNAS-136	exp005
P15529	CD46;MCP;MIC10	Membrane cofactor protein	P15529	Membrane cofactor protein	exp005
Q9C013	NA	Ninein	Q9C013	Ninein	exp005
P16070	CD44;LHR;MDU2;MDU3;MIC4	CD44 antigen	P16070	Phagocytic glycoprotein I	exp005
Q9C0H5	ARHGAP39;KIAA1688	Rho GTPase-activating protein 39	Q9C0H5	Hypothetical protein, KIAA1688	exp005
P16106	NA	Histone H3.1	P16106	Histone H3	exp005
Q9CZB4	Apool	Putative uncharacterized protein	Q9CZB4	Hypothetical protein, RIKEN 9430083G14	exp005
P16401	HIST1H1B;H1F5	Histone H1.5	P16401	Histone H1	exp005
Q9H0K5	NA	Tetratricopeptide repeat protein 25	Q9H0K5	Hypothetical protein, DKFZp434H0115	exp005
P16435	POR;CYPOR	NADPH--cytochrome P450 reductase	P16435	NADPH-cytochrome P-450 reductase	exp005
Q9H0S7	NA	Signal peptidase complex subunit 3	Q9H0S7	Microsomal signal peptidase 23 kDa subunit	exp005
P16671	CD36;GP3B;GP4	Platelet glycoprotein 4	P16671	Fatty acid translocase	exp005
Q9H0U3	MAGT1;IAG2;PSEC0084;UNQ628/PRO1244	Magnesium transporter protein 1	Q9H0U3	Hypothetical protein, DKFZp564K142	exp005
P17008	RPS16	40S ribosomal protein S16	P17008	Ribosomal protein S16	exp005
Q9H0U4	RAB1B	Ras-related protein Rab-1B	Q9H0U4	Hypothetical Rab protein	exp005
P17080	RAN	GTP-binding nuclear protein Ran	P17080	Ran GTPase	exp005
Q9H131	NA	Mitofusin-2	Q9H131	Hypothetical protein, KIAA0214	exp005
P17082	RRAS2; TC21	Ras-related protein R-Ras2	P17082	Ras (R-Ras2, TC21)	exp005
Q9H160	ING2;ING1L	Inhibitor of growth protein 2	Q9H160	P32	exp005
P17301	ITGA2;CD49B	Integrin alpha-2	P17301	Integrin, alpha 2	exp005
Q9H1E5	TMX4;KIAA1162;TXNDC13;PSEC0095;UNQ475/PRO938	Thioredoxin-related transmembrane protein 4	Q9H1E5	Hypothetical protein, dJ971N18.2.1	exp005
P17342	NPR3;ANPRC;C5orf23;NPRC	Atrial natriuretic peptide receptor 3	P17342	Atrial natriuretic peptide C-type receptor	exp005
Q9H1N2	NA	Reactive oxygen species modulator 1	Q9H1N2	Hypothetical protein, BA353C18.2	exp005
P17813	ENG;END	Endoglin	P17813	Endoglin	exp005
Q9H223	EHD4;HCA10;HCA11;PAST4;FKSG7	EH domain-containing protein 4	Q9H223	EH-domain containing protein 4	exp005
P17931	LGALS3;MAC2	Galectin-3	P17931	Galectin 3	exp005
Q9H2P8	NA	Renin receptor	Q9H2P8	Transmembrane adaptor, type I	exp005
P18084	ITGB5	Integrin beta-5	P18084	Integrin, beta 5	exp005
Q9H370	NA	Mitochondrial import inner membrane translocase subunit TIM50	Q9H370	Hypothetical protein, PRO1512	exp005
P18085	ARF4;ARF2	ADP-ribosylation factor 4	P18085	ARF4	exp005
Q9H3N1	TMX1;TMX;TXNDC;TXNDC1;PSEC0085;UNQ235/PRO268	Thioredoxin-related transmembrane protein 1	Q9H3N1	Thioredoxin-related transmembrane protein	exp005
P18582	NA	CD81 antigen	P18582	Target of the antiproliferative antibody 1	exp005
Q9H3N4	NA	Cleft lip and palate transmembrane protein 1-like protein	Q9H3N4	Cisplatin resistance-related protein	exp005
P18859	ATP5J;ATP5A;ATPM	ATP synthase-coupling factor 6, mitochondrial	P18859	ATP synthase coupling factor 6	exp005
Q9H490	PIGU;CDC91L1;PSEC0205;UNQ3055/PRO9875	Phosphatidylinositol glycan anchor biosynthesis class U protein	Q9H490	CDC91-like 1	exp005
P19022	CDH2;CDHN;NCAD	Cadherin-2	P19022	N-cadherin	exp005
Q9H4V2	NA	DJ595C2.1.2 (KIAA0351)	Q9H4V2	Hypothetical protein, KIAA0351	exp005
P19367	HK1	Hexokinase-1	P19367	Hexokinase I	exp005
Q9H5K3	POMK;SGK196	Protein O-mannose kinase	Q9H5K3	Hypothetical protein, FLJ23356	exp005
P20020	ATP2B1;PMCA1	Plasma membrane calcium-transporting ATPase 1	P20020	Ca++-transporting ATPase	exp005
Q9H5M7	NA	Atlastin-2	Q9H5M7	Hypothetical protein, FLJ23293	exp005
P20340	RAB6A;RAB6	Ras-related protein Rab-6A	P20340	Rab6	exp005
Q9H6B8	NA	DnaJ homolog subfamily C member 1	Q9H6B8	Hypothetical protein, FLJ14357 fis, clone HEMBA1000005	exp005
P20674	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	P20674	Cytochrome c oxidase Va	exp005
Q9H6C8	NA	Nuclear pore membrane glycoprotein 210	Q9H6C8	Hypothetical protein, FLJ22389 fis, clone HRC07681	exp005
P20700	LMNB1;LMN2;LMNB	Lamin-B1	P20700	Lamin B1	exp005
Q9H6X2	ANTXR1;ATR;TEM8	Anthrax toxin receptor 1	Q9H6X2	Anthrax toxin receptor	exp005
P20908	COL5A1	Collagen alpha-1 chain	P20908	Collagen, alpha 1(V)	exp005
Q9H7G2	NA	Acyl-CoA synthetase family member 2, mitochondrial	Q9H7G2	Hypothetical protein, FLJ20920	exp005
P21281	ATP6V1B2;ATP6B2;VPP3	V-type proton ATPase subunit B, brain isoform	P21281	V-ATPase subunit B	exp005
Q9H9B4	SFXN1	Sideroflexin-1	Q9H9B4	Sideroflexin 1	exp005
P21283	ATP6V1C1;ATP6C;ATP6D;VATC	V-type proton ATPase subunit C 1	P21283	V-ATPase subunit C	exp005
Q9H9N1	NA	Kin of IRRE-like protein 1	Q9H9N1	Hypothetical protein, NT2RM4001987	exp005
P21378	NA	Signal peptidase complex catalytic subunit SEC11A	P21378	Microsomal signal peptidase 18 kDa subunit	exp005
Q9HAP4	NA	Polymerase I and transcript release factor	Q9HAP4	Leucine-zipper protein FKSG13	exp005
P21589	NT5E;NT5;NTE	5'-nucleotidase	P21589	5'-nucleotidase	exp005
Q9HAV0	GNB4	Guanine nucleotide-binding protein subunit beta-4	Q9HAV0	Guanine nucleotide-binding protein beta 4	exp005
P21796	VDAC1;VDAC	Voltage-dependent anion-selective channel protein 1	P21796	Voltage-dependent anion channel 1	exp005
Q9HBH5	RDH14;PAN2;UNQ529/PRO1072	Retinol dehydrogenase 14	Q9HBH5	PAN2	exp005
P21912	SDHB;SDH;SDH1	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	P21912	NADH dehydrogenase Fe-S protein 1	exp005
Q9HC86	NA	Prolyl 3-hydroxylase 1	Q9HC86	GROS1-L	exp005
P21964	COMT	Catechol O-methyltransferase	P21964	Catechol O-methyltransferase, membrane-bound form	exp005
Q9HCF4	NA	E3 ubiquitin-protein ligase RNF213	Q9HCF4	Hypothetical protein, KIAA1618	exp005
P22090	RPS4Y1;RPS4Y;PRO2646	40S ribosomal protein S4, Y isoform 1	P22090	Ribosomal protein S4	exp005
Q9HCJ1	ANKH;KIAA1581;UNQ241/PRO274	Progressive ankylosis protein homolog	Q9HCJ1	Progressive ankylosis protein	exp005
P22392	NME2;NM23B	Nucleoside diphosphate kinase B	P22392	Nucleoside diphosphate kinase B	exp005
Q9HDC9	APMAP;C20orf3;UNQ1869/PRO4305	Adipocyte plasma membrane-associated protein	Q9HDC9	BSCv protein	exp005
P22674	CCNO	Cyclin-O	P22674	Uracil DNA glycosylase	exp005
Q9JIP8	NA	Lanosterol 14-alpha demethylase	Q9JIP8	Lanosterol 14-alpha demethylase	exp005
P22695	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	P22695	Ubiquinol-cytochrome c reductase, core protein II	exp005
Q9NP48	AGK; MULK	Acylglycerol kinase, mitochondrial	Q9NP48	Lipid kinase, putative	exp005
P23284	PPIB;CYPB	Peptidyl-prolyl cis-trans isomerase B	P23284	Peptidyl-prolyl isomerase B	exp005
Q9NP72	RAB18	Ras-related protein Rab-18	Q9NP72	Rab18	exp005
P24407	RAB8A; MEL; RAB8	Ras-related protein Rab-8A	P24407	Rab8	exp005
Q9NPA0	EMC7;C11orf3;C15orf24;HT022;UNQ905/PRO1926	ER membrane protein complex subunit 7	Q9NPA0	Hypothetical protein, HT022	exp005
P24410	NA	Ras-related protein Rab-11A	P24410	Rab11	exp005
Q9NPY4	NA	Polypeptide N-acetylgalactosaminyltransferase 2	Q9NPY4	N-acetylgalactosaminyltransferase 2	exp005
P24539	ATP5F1	ATP synthase F	P24539	ATP synthase, H+ transporting, F0 complex, subunit b	exp005
Q9NQA7	NA	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	Q9NQA7	B-ind1	exp005
P25111	RPS25	40S ribosomal protein S25	P25111	Ribosomal protein S25	exp005
Q9NQC3	RTN4;KIAA0886;NOGO;My043;SP1507	Reticulon-4	Q9NQC3	Neurite outgrowth inhibitor	exp005
P25120	NA	60S ribosomal protein L8	P25120	Ribosomal protein L8	exp005
Q9NR13	NA	Histone-lysine N-methyltransferase 2C	Q9NR13	ALR-like protein	exp005
P25232	RPS18; D6S218E	40S ribosomal protein S18	P25232	Ribosomal protein S18	exp005
Q9NR18	NA	Protein LAP2	Q9NR18	Erbin	exp005
P25705	ATP5A1;ATP5A;ATP5AL2;ATPM	ATP synthase subunit alpha, mitochondrial	P25705	ATP synthase, H+ transporting, F1 complex, alpha subunit	exp005
Q9NRG3	NA	Coiled-coil domain-containing protein 47	Q9NRG3	GK001 protein	exp005
P25763	NA	Cell division control protein 42 homolog	P25763	Cdc42	exp005
Q9NRN6	NA	Protein FAM162A	Q9NRN6	HGTD-P	exp005
P26006	ITGA3;MSK18	Integrin alpha-3	P26006	Integrin, alpha 3	exp005
Q9NS69	TOMM22;TOM22	Mitochondrial import receptor subunit TOM22 homolog	Q9NS69	TOM22	exp005
P26038	MSN	Moesin	P26038	Ezrin	exp005
Q9NV52	NA	Torsin-1A-interacting protein 1	Q9NV52	Hypothetical protein, FLJ10918	exp005
P26232	CTNNA2;CAPR	Catenin alpha-2	P26232	Catenin, alpha	exp005
Q9NVH1	DNAJC11	DnaJ homolog subfamily C member 11	Q9NVH1	Hypothetical protein, FLJ10737	exp005
P26373	RPL13;BBC1;OK/SW-cl.46	60S ribosomal protein L13	P26373	Ribosomal protein L13	exp005
Q9NVI7	ATAD3A	ATPase family AAA domain-containing protein 3A	Q9NVI7	Hypothetical protein, FLJ10709	exp005
P27105	STOM;BND7;EPB72	Erythrocyte band 7 integral membrane protein	P27105	Stomatin	exp005
Q9NVJ2	ARL8B;ARL10C;GIE1	ADP-ribosylation factor-like protein 8B	Q9NVJ2	Hypothetical protein, FLJ10702	exp005
P27338	MAOB	Amine oxidase [flavin-containing] B	P27338	Monoamine oxidase B	exp005
Q9NVZ7	NA	Nucleoporin NDC1	Q9NVZ7	Hypothetical protein, FLJ10407 fis, clone NT2RM4000520	exp005
P27487	DPP4;ADCP2;CD26	Dipeptidyl peptidase 4	P27487	Dipeptidyl peptidase IV	exp005
Q9NWT0	LAMTOR1; C11orf59; PDRO	Ragulator complex protein LAMTOR1	Q9NWT0	Hypothetical  17.7 kDa protein	exp005
P27635	RPL10;DXS648E;QM	60S ribosomal protein L10	P27635	Ribosomal protein L10	exp005
Q9NX14	NDUFB11;UNQ111/PRO1064	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	Q9NX14	Hypothetical protein, FLJ20494	exp005
P27797	CALR;CRTC	Calreticulin	P27797	Calreticulin	exp005
Q9NX63	CHCHD3;MINOS3	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial	Q9NX63	Hypothetical protein, FLJ20420 fis, clone KAT02462	exp005
P27824	CANX	Calnexin	P27824	Calnexin	exp005
Q9NXE4	SMPD4;KIAA1418	Sphingomyelin phosphodiesterase 4	Q9NXE4	Hypothetical protein, FLJ20297	exp005
P28001	HIST1H2AB; H2AFM;HIST1H2AE; H2AFA	Histone H2A type 1-B/E	P28001	Histone H2a	exp005
Q9NXI3	NA	cDNA FLJ20232 fis, clone COLF5593	Q9NXI3	Hypothetical protein, FLJ20232	exp005
P28288	ABCD3;PMP70;PXMP1	ATP-binding cassette sub-family D member 3	P28288	ATP-binding cassette, sub-family D, member 3	exp005
Q9NYI2	THEM6; C8orf55	Protein THEM6	Q9NYI2	Mesenchymal stem cell protein DSCD75	exp005
P29043	SERPINH1; CBP1; CBP2; HSP47; SERPINH2	Serpin H1	P29043	HSP-47	exp005
Q9NYL4	FKBP11;FKBP19;UNQ336/PRO535	Peptidyl-prolyl cis-trans isomerase FKBP11	Q9NYL4	FK506-binding protein	exp005
P29312	YWHAZ	14-3-3 protein zeta/delta	P29312	14-3-3 Zeta/Delta	exp005
Q9NZ44	NA	Plasminogen receptor (KT)	Q9NZ44	Hypothetical protein, MDS030	exp005
P29317	EPHA2;ECK	Ephrin type-A receptor 2	P29317	Ephrin type-A receptor 2	exp005
Q9NZ45	CISD1;C10orf70;ZCD1;MDS029	CDGSH iron-sulfur domain-containing protein 1	Q9NZ45	Hypothetical protein, MDS029	exp005
P29401	TKT	Transketolase	P29401	Transketolase	exp005
Q9NZM1	MYOF;FER1L3;KIAA1207	Myoferlin	Q9NZM1	Myoferlin	exp005
P29692	EEF1D;EF1D	Elongation factor 1-delta	P29692	EEF1D	exp005
Q9NZP7	NA	45 kDa calcium-binding protein	Q9NZP7	Ca++-binding protein Cab45	exp005
P29966	MARCKS;MACS;PRKCSL	Myristoylated alanine-rich C-kinase substrate	P29966	Myristoylated alanine-rich C-kinase substrate	exp005
Q9P003	CNIH4;HSPC163	Protein cornichon homolog 4	Q9P003	Hypothetical protein, HSPC163	exp005
P29992	GNA11;GA11	Guanine nucleotide-binding protein subunit alpha-11	P29992	Guanine nucleotide-binding protein alpha 11	exp005
Q9P0J0	NDUFA13;GRIM19;CDA016;CGI-39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	Q9P0J0	NADH-ubiquinone oxidoreductase B16.6 subunit	exp005
P30040	ERP29;C12orf8;ERP28	Endoplasmic reticulum resident protein 29	P30040	ER protein, 28 kDa	exp005
Q9P0S9	TMEM14C;C6orf53;HSPC194	Transmembrane protein 14C	Q9P0S9	Hypothetical protein, HSPC194	exp005
P30101	PDIA3;ERP57;ERP60;GRP58	Protein disulfide-isomerase A3	P30101	Protein disulfide isomerase A3	exp005
Q9P0U1	TOMM7;TOM7;TOMM07;AD-014	Mitochondrial import receptor subunit TOM7 homolog	Q9P0U1	TOM7	exp005
P30499	HLA-C;HLAC	HLA class I histocompatibility antigen, Cw-1 alpha chain	P30499	Major Histocompatibility Complex heavy chain	exp005
Q9P0V2	NA	Mitochondrial inner membrane protein	Q9P0V2	Mitofilin	exp005
P30519	HMOX2;HO2	Heme oxygenase 2	P30519	Heme oxygenase	exp005
Q9P0X0	NA	Neutral alpha-glucosidase AB	Q9P0X0	Glucosidase II alpha subunit	exp005
P30991	NA	C-X-C chemokine receptor type 4	P30991	Chemokine receptor type 4	exp005
Q9P129	NA	Calcium-binding mitochondrial carrier protein SCaMC-1	Q9P129	Ca++-binding transporter	exp005
P31040	SDHA;SDH2;SDHF	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	P31040	Succinate dehydrogenase	exp005
Q9P189	LRRC59	Leucine-rich repeat-containing protein 59	Q9P189	Hypothetical protein, PRO1855	exp005
P31327	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	P31327	Carbamoyl-phosphate synthetase 1	exp005
Q9P2B2	PTGFRN;CD9P1;EWIF;FPRP;KIAA1436	Prostaglandin F2 receptor negative regulator	Q9P2B2	Hypothetical protein, KIAA1436	exp005
P31930	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	P31930	Ubiquinol-cytochrome c reductase, core protein I	exp005
Q9P2I4	NA	Neutral cholesterol ester hydrolase 1	Q9P2I4	Hypothetical protein, KIAA1363	exp005
P32004	L1CAM;CAML1;MIC5	Neural cell adhesion molecule L1	P32004	Neural cell adhesion molecule L1	exp005
Q9UBI6	GNG12	Guanine nucleotide-binding protein G subunit gamma-12	Q9UBI6	Guanine nucleotide-binding protein gamma 12	exp005
P33897	ABCD1;ALD	ATP-binding cassette sub-family D member 1	P33897	Adrenoleukodystrophy protein	exp005
Q9UBX3	SLC25A10;DIC	Mitochondrial dicarboxylate carrier	Q9UBX3	Dicarboxylate transporter	exp005
P33908	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	P33908	Alpha 1,2-mannosidase	exp005
Q9UEY2	HLA-Cw*07	Leucocyte antigen C	Q9UEY2	Human leucocyte antigen C	exp005
P35052	GPC1	Glypican-1	P35052	Glypican-1	exp005
Q9UFE4	CCDC39	Coiled-coil domain-containing protein 39	Q9UFE4	Hypothetical  88.2 kDa protein	exp005
P35232	PHB	Prohibitin	P35232	Prohibitin	exp005
Q9UGP8	SEC63;SEC63L	Translocation protein SEC63 homolog	Q9UGP8	Sec63	exp005
P35239	NA	Ras-related protein Rab-5B	P35239	Rab5b	exp005
Q9UH52	NA	Mitochondrial import receptor subunit TOM6 homolog	Q9UH52	Over-expressed breast tumor protein	exp005
P35287	NA	Ras-related protein Rab-14	P35287	Rab14	exp005
Q9UH62	ARMCX3;ALEX3;BM-017;UNQ2517/PRO6007	Armadillo repeat-containing X-linked protein 3	Q9UH62	ALEX3 protein	exp005
P35527	KRT9	Keratin, type I cytoskeletal 9	P35527	Keratin 9	exp005
Q9UHG3	PCYOX1;KIAA0908;PCL1;UNQ597/PRO1183	Prenylcysteine oxidase 1	Q9UHG3	Prenylcysteine lyase	exp005
P35610	SOAT1;ACACT;ACACT1;ACAT;ACAT1;SOAT;STAT	Sterol O-acyltransferase 1	P35610	Acyl-CoA/cholesterol acyltransferase	exp005
Q9UIQ7	NA	Leucyl-cystinyl aminopeptidase	Q9UIQ7	IRAP	exp005
P35613	BSG;UNQ6505/PRO21383	Basigin	P35613	Basigin	exp005
Q9UJN8	NA	Putative multiple coagulation factor deficiency protein 2-like protein	Q9UJN8	NEFA, possible calcium-binding protein similar to	exp005
P35908	KRT2;KRT2A;KRT2E	Keratin, type II cytoskeletal 2 epidermal	P35908	Keratin 2	exp005
Q9UKU4	NA	Estradiol 17-beta-dehydrogenase 11	Q9UKU4	Retinal short-chain dehydrogenase/reductase	exp005
P36542	ATP5C1;ATP5C;ATP5CL1	ATP synthase subunit gamma, mitochondrial	P36542	ATP synthase, H+ transporting, F1 complex, gamma subunit	exp005
Q9UKX5	ITGA11;MSTP018	Integrin alpha-11	Q9UKX5	Integrin, alpha 11	exp005
P36578	RPL4;RPL1	60S ribosomal protein L4	P36578	Ribosomal protein L4	exp005
Q9UL62	TRPC5;TRP5	Short transient receptor potential channel 5	Q9UL62	Short transient receptor potential channel 5	exp005
P36957	DLST;DLTS	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	P36957	Dihydrolipoamide S-succinyltransferase	exp005
Q9ULJ2	NA	Extended synaptotagmin-2	Q9ULJ2	Hypothetical protein, KIAA1228	exp005
NA	NA	NA	IPI00079859.1	Hypothetical protein, XP_108982	exp005
P37268	FDFT1	Squalene synthase	P37268	Squalene synthase	exp005
Q9ULN9	NA	Endoplasmic reticulum-Golgi intermediate compartment protein 1	Q9ULN9	Hypothetical protein, KIAA1181	exp005
NA	NA	NA	IPI00083002.1	Hypothetical protein, XP_093088	exp005
P38384	NA	Protein transport protein Sec61 subunit gamma	P38384	Sec61	exp005
Q9UMR9	NA	ATP-dependent zinc metalloprotease YME1L1	Q9UMR9	YME1, ATP-dependent metalloprotease	exp005
NA	NA	NA	IPI00099322.1	RasGRP - Exchange factor	exp005
P38646	HSPA9;GRP75;HSPA9B;mt-HSP70	Stress-70 protein, mitochondrial	P38646	Mortalin	exp005
Q9UNF1	MAGED2;BCG1	Melanoma-associated antigen D2	Q9UNF1	Breast cancer associated protein 1	exp005
NA	NA	NA	IPI00150862.1	Hypothetical protein, XP_166301	exp005
P38663	NA	60S ribosomal protein L24	P38663	Ribosomal protein L24	exp005
Q9UNL2	SSR3;TRAPG	Translocon-associated protein subunit gamma	Q9UNL2	Signal sequence receptor, gamma	exp005
O00264	PGRMC1;HPR6.6;PGRMC	Membrane-associated progesterone receptor component 1	O00264	Progesterone binding protein	exp005
P39028	NA	40S ribosomal protein S23	P39028	Ribosomal protein S23	exp005
Q9UNN8	PROCR;EPCR	Endothelial protein C receptor	Q9UNN8	Endothelial protein C receptor	exp005
O00410	IPO5;KPNB3;RANBP5	Importin-5	O00410	Importin, beta-3	exp005
P39030	RPL15; EC45	60S ribosomal protein L15	P39030	Ribosomal protein L15	exp005
Q9UPH9	NA	Phosphatidylinositol 3-kinase regulatory subunit beta	Q9UPH9	PI 3-K p85b	exp005
O00469	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	O00469	Lysyl hydroxylase 2	exp005
P39656	DDOST;KIAA0115;OST48;OK/SW-cl.45	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	P39656	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	exp005
Q9VYG3	CG4332;Dmel_CG4332	CG4332	Q9VYG3	Hypothetical protein, CG4332	exp005
